person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24.0,male,High School,49118.0,1,RENT,10000.0,EDUCATION,11.01,0.2,2.0,586,Yes,0
23.0,female,Associate,60911.0,0,RENT,5297.0,EDUCATION,13.99,0.09,3.0,537,Yes,0
24.0,female,Associate,56101.0,0,MORTGAGE,10000.0,VENTURE,8.66,0.18,3.0,661,No,0
30.0,male,Associate,87626.0,9,MORTGAGE,6000.0,EDUCATION,9.51,0.07,6.0,655,Yes,0
25.0,male,Associate,49247.0,4,RENT,12000.0,DEBTCONSOLIDATION,13.57,0.24,4.0,609,No,0
28.0,female,Bachelor,79243.0,4,RENT,7000.0,PERSONAL,10.74,0.09,9.0,649,Yes,0
26.0,male,Associate,139038.0,3,RENT,2985.0,HOMEIMPROVEMENT,13.93,0.02,4.0,647,Yes,0
45.0,male,Associate,43049.0,20,RENT,10000.0,DEBTCONSOLIDATION,10.32,0.23,16.0,603,Yes,0
25.0,male,Associate,64528.0,1,MORTGAGE,8000.0,EDUCATION,6.19,0.12,2.0,645,Yes,0
24.0,male,Master,70636.0,2,RENT,5000.0,PERSONAL,12.72,0.07,3.0,647,No,0
24.0,female,High School,123313.0,3,MORTGAGE,13608.0,VENTURE,6.69,0.11,3.0,529,No,0
23.0,male,Bachelor,49050.0,2,RENT,2500.0,HOMEIMPROVEMENT,12.88,0.05,3.0,535,Yes,0
24.0,female,Associate,133244.0,5,RENT,16000.0,VENTURE,11.42,0.12,4.0,502,Yes,0
24.0,male,Bachelor,127104.0,0,MORTGAGE,19067.0,VENTURE,12.19,0.15,3.0,567,Yes,0
26.0,female,High School,76330.0,4,RENT,1510.0,DEBTCONSOLIDATION,12.24,0.02,5.0,578,Yes,0
33.0,female,Master,51662.0,6,RENT,12000.0,PERSONAL,12.34,0.23,7.0,652,Yes,0
34.0,male,Associate,35113.0,12,MORTGAGE,2000.0,EDUCATION,11.28,0.06,12.0,509,Yes,0
26.0,male,High School,47745.0,4,MORTGAGE,5459.0,DEBTCONSOLIDATION,7.87,0.11,6.0,670,Yes,0
27.0,female,Associate,111368.0,3,MORTGAGE,12000.0,HOMEIMPROVEMENT,6.62,0.11,7.0,543,No,0
28.0,female,Bachelor,54705.0,7,MORTGAGE,4263.0,VENTURE,7.35,0.08,5.0,617,Yes,0
28.0,female,Bachelor,96896.0,3,MORTGAGE,5527.0,VENTURE,9.54,0.06,6.0,630,No,0
32.0,male,Bachelor,61852.0,9,RENT,10000.0,EDUCATION,15.38,0.16,10.0,582,No,0
26.0,male,High School,27276.0,4,OWN,7486.0,PERSONAL,10.77,0.27,2.0,688,No,0
31.0,male,Bachelor,117594.0,5,MORTGAGE,4978.0,PERSONAL,12.6,0.04,10.0,663,No,0
25.0,male,High School,114576.0,5,RENT,12000.0,VENTURE,9.97,0.1,4.0,694,Yes,0
25.0,male,High School,40754.0,5,RENT,5000.0,MEDICAL,11.65,0.12,4.0,673,No,0
27.0,female,Bachelor,48863.0,4,RENT,6500.0,VENTURE,11.46,0.13,5.0,633,No,0
26.0,female,Bachelor,58472.0,3,MORTGAGE,9838.0,EDUCATION,8.9,0.17,5.0,583,Yes,0
38.0,male,Associate,846491.0,15,MORTGAGE,25000.0,PERSONAL,12.33,0.03,13.0,564,Yes,0
23.0,male,Associate,120887.0,3,MORTGAGE,8000.0,MEDICAL,10.62,0.07,4.0,697,Yes,0
25.0,female,Master,96833.0,1,MORTGAGE,10000.0,VENTURE,11.05,0.1,4.0,663,No,0
26.0,male,Associate,97224.0,3,MORTGAGE,5000.0,VENTURE,15.27,0.05,3.0,617,Yes,0
36.0,male,High School,37737.0,16,RENT,4506.0,VENTURE,13.19,0.12,11.0,673,Yes,0
26.0,male,Bachelor,48683.0,6,RENT,1764.0,MEDICAL,12.2,0.04,4.0,695,No,0
29.0,male,Bachelor,75488.0,5,RENT,1559.0,EDUCATION,12.87,0.02,6.0,618,Yes,0
25.0,male,Bachelor,73949.0,4,MORTGAGE,15000.0,HOMEIMPROVEMENT,14.65,0.2,3.0,666,Yes,0
23.0,female,Associate,71984.0,0,MORTGAGE,6000.0,MEDICAL,10.55,0.08,3.0,496,Yes,0
29.0,female,Associate,66956.0,5,MORTGAGE,8000.0,MEDICAL,13.7,0.12,9.0,564,Yes,0
30.0,male,Associate,112430.0,7,MORTGAGE,17849.0,VENTURE,13.95,0.16,9.0,654,Yes,0
31.0,female,Master,66823.0,11,RENT,10000.0,DEBTCONSOLIDATION,8.56,0.15,10.0,623,Yes,0
26.0,male,Bachelor,63324.0,3,MORTGAGE,1771.0,HOMEIMPROVEMENT,12.35,0.03,5.0,679,Yes,0
31.0,male,Associate,99984.0,7,MORTGAGE,20000.0,MEDICAL,10.99,0.2,9.0,697,No,0
27.0,female,Associate,35866.0,5,RENT,5000.0,VENTURE,10.8,0.14,6.0,527,Yes,0
26.0,male,Associate,60660.0,3,RENT,6668.0,DEBTCONSOLIDATION,13.19,0.11,4.0,558,Yes,0
30.0,female,Associate,77059.0,5,MORTGAGE,24000.0,HOMEIMPROVEMENT,10.71,0.31,5.0,628,Yes,0
25.0,male,Associate,132979.0,4,MORTGAGE,6442.0,EDUCATION,12.31,0.05,3.0,623,Yes,0
31.0,male,Bachelor,66774.0,8,RENT,3600.0,PERSONAL,8.41,0.05,6.0,687,No,0
28.0,female,Bachelor,193112.0,5,MORTGAGE,25000.0,HOMEIMPROVEMENT,12.5,0.13,5.0,612,Yes,0
23.0,male,Bachelor,29820.0,1,OWN,2500.0,MEDICAL,10.96,0.08,2.0,639,Yes,0
27.0,male,Associate,50716.0,5,RENT,9960.0,EDUCATION,11.08,0.2,6.0,706,Yes,0
31.0,male,Associate,44101.0,9,MORTGAGE,5000.0,PERSONAL,8.03,0.11,9.0,705,No,0
37.0,male,Bachelor,75420.0,13,RENT,7000.0,MEDICAL,10.31,0.09,14.0,657,Yes,0
34.0,male,Associate,49074.0,9,RENT,4000.0,PERSONAL,8.35,0.08,11.0,688,Yes,0
24.0,male,Master,61248.0,2,RENT,12000.0,PERSONAL,12.82,0.2,4.0,687,No,0
29.0,female,Bachelor,95102.0,3,RENT,9600.0,DEBTCONSOLIDATION,11.59,0.1,7.0,560,Yes,0
28.0,female,Associate,156686.0,2,RENT,10000.0,PERSONAL,8.0,0.06,7.0,603,Yes,0
37.0,male,Associate,240737.0,16,MORTGAGE,7552.0,PERSONAL,10.05,0.03,11.0,663,No,0
33.0,female,High School,44424.0,10,MORTGAGE,11752.0,EDUCATION,14.79,0.26,10.0,586,Yes,0
24.0,female,High School,79222.0,2,MORTGAGE,9000.0,MEDICAL,14.32,0.11,4.0,586,No,0
26.0,female,High School,54365.0,3,MORTGAGE,6364.0,EDUCATION,13.27,0.12,8.0,493,Yes,0
23.0,female,Associate,43664.0,1,RENT,8000.0,EDUCATION,6.52,0.18,3.0,568,Yes,0
25.0,male,Bachelor,66047.0,1,MORTGAGE,1443.0,EDUCATION,13.38,0.02,6.0,616,No,0
26.0,female,Bachelor,46692.0,2,RENT,10000.0,PERSONAL,13.18,0.21,4.0,656,Yes,0
32.0,male,Associate,67404.0,10,MORTGAGE,7000.0,VENTURE,13.08,0.1,8.0,707,Yes,0
22.0,male,Bachelor,65003.0,0,RENT,12000.0,MEDICAL,13.06,0.18,3.0,672,Yes,0
33.0,male,High School,93590.0,14,OWN,29238.0,PERSONAL,17.27,0.31,9.0,606,No,0
27.0,female,Master,65677.0,6,MORTGAGE,4000.0,PERSONAL,12.36,0.06,7.0,695,Yes,0
28.0,male,Associate,36889.0,5,RENT,7796.0,PERSONAL,14.04,0.21,10.0,668,Yes,0
26.0,male,High School,156738.0,3,MORTGAGE,2029.0,MEDICAL,6.88,0.01,5.0,667,No,0
27.0,male,Bachelor,81346.0,8,RENT,5000.0,PERSONAL,14.09,0.06,5.0,607,Yes,0
25.0,male,High School,74083.0,4,RENT,12000.0,PERSONAL,8.46,0.16,3.0,571,No,0
25.0,female,Master,97977.0,0,RENT,12000.0,PERSONAL,8.22,0.12,3.0,665,Yes,0
26.0,female,High School,51057.0,5,RENT,11300.0,VENTURE,13.22,0.22,4.0,535,Yes,0
25.0,female,Associate,62031.0,1,RENT,3000.0,DEBTCONSOLIDATION,12.48,0.05,2.0,587,Yes,0
33.0,female,Master,138876.0,13,MORTGAGE,7249.0,DEBTCONSOLIDATION,12.09,0.05,10.0,689,No,0
24.0,male,Bachelor,181439.0,3,MORTGAGE,8000.0,EDUCATION,8.12,0.04,4.0,701,Yes,0
33.0,female,Associate,51204.0,10,RENT,2000.0,MEDICAL,14.32,0.04,10.0,567,Yes,0
28.0,female,Master,79592.0,7,MORTGAGE,8400.0,VENTURE,12.6,0.11,5.0,674,Yes,0
26.0,female,Associate,60910.0,7,RENT,6500.0,VENTURE,13.46,0.11,6.0,605,Yes,0
26.0,female,Bachelor,123934.0,7,MORTGAGE,25000.0,PERSONAL,10.83,0.2,3.0,700,No,0
23.0,female,Associate,205048.0,1,RENT,12000.0,PERSONAL,11.11,0.06,2.0,595,No,0
23.0,female,Associate,55257.0,0,MORTGAGE,10000.0,EDUCATION,11.82,0.18,4.0,645,Yes,0
34.0,male,High School,36304.0,13,RENT,3491.0,VENTURE,11.63,0.1,8.0,630,No,0
32.0,female,Associate,36998.0,8,RENT,3000.0,MEDICAL,12.6,0.08,7.0,556,Yes,0
24.0,female,Bachelor,132954.0,3,RENT,20000.0,VENTURE,10.72,0.15,3.0,610,No,0
23.0,female,Bachelor,42022.0,2,MORTGAGE,10000.0,DEBTCONSOLIDATION,8.23,0.24,4.0,666,Yes,0
24.0,male,Bachelor,48093.0,0,MORTGAGE,3000.0,VENTURE,11.92,0.06,2.0,675,No,0
29.0,female,Bachelor,40879.0,9,RENT,5000.0,MEDICAL,13.79,0.12,10.0,648,Yes,0
33.0,male,Associate,121102.0,9,MORTGAGE,24000.0,MEDICAL,12.22,0.2,8.0,658,Yes,0
28.0,male,Associate,61059.0,4,MORTGAGE,6250.0,PERSONAL,12.0,0.1,6.0,681,Yes,0
29.0,male,Bachelor,55782.0,8,RENT,4101.0,VENTURE,11.0,0.07,7.0,687,Yes,0
25.0,male,Associate,44494.0,2,RENT,6000.0,MEDICAL,11.25,0.13,4.0,622,Yes,0
31.0,male,Bachelor,21602.0,6,RENT,2112.0,PERSONAL,10.23,0.1,8.0,600,Yes,0
27.0,female,Bachelor,39394.0,4,RENT,5000.0,MEDICAL,7.41,0.13,3.0,645,No,0
23.0,female,High School,72928.0,0,MORTGAGE,7000.0,PERSONAL,7.66,0.1,4.0,670,No,0
25.0,male,High School,87594.0,1,MORTGAGE,10000.0,EDUCATION,14.56,0.11,3.0,684,Yes,0
25.0,female,Master,91004.0,6,MORTGAGE,9000.0,MEDICAL,8.41,0.1,5.0,681,No,0
